Date,AAPL,GE,GOOGL,IBM,KO,MSFT,PEP
2010-05-13,34.180634,14.879858,255.695697,115.643,22.571679,24.894387,56.103859
2010-05-14,33.579996,14.541867,254.019016,115.387937,22.508381,24.63046,55.757849
2010-05-17,33.632917,14.475917,254.239246,114.728276,22.53792,24.638974,56.331715
2010-05-18,33.386843,14.203876,249.434436,114.297293,22.407105,24.459376,56.146052
2010-05-19,32.855001,14.228607,247.462467,113.338588,22.415545,24.151496,55.732532
2010-05-20,31.455283,13.404238,237.74274,108.888076,21.748819,23.185094,53.892785
2010-05-21,32.058564,13.536137,236.261264,110.31294,21.769917,22.954184,53.656488
2010-05-24,32.645969,13.198146,238.81882,109.459777,21.715059,22.466707,53.437067
2010-05-25,32.442231,13.148684,238.773776,109.521345,21.360597,22.295662,53.07418
2010-05-26,32.295378,13.198146,237.97298,108.386734,21.132729,21.389126,51.673272
2010-05-27,33.517816,13.733986,245.475482,111.166103,21.618004,22.235796,53.082621
2010-05-28,33.984832,13.478432,243.058063,110.172216,21.689742,22.064751,53.07418
2010-06-01,34.50741,13.173415,241.426425,109.363026,21.643324,22.141721,52.96447
2010-06-02,34.92018,13.478432,246.931934,112.063246,22.11594,22.629198,53.96797
2010-06-03,34.810372,13.560869,253.053058,112.546993,22.259413,22.971289,53.891432
2010-06-04,33.863118,12.950835,249.609607,110.189804,21.634884,22.0562,52.250111
2010-06-07,33.198978,12.703525,243.003009,109.178322,21.436553,21.628589,52.496735
2010-06-08,32.985978,12.76123,242.632633,108.817711,21.757258,21.474649,53.279128
2010-06-09,32.174989,12.629331,237.247256,108.97603,21.668641,21.200977,53.14306
2010-06-10,33.14209,12.926105,243.748752,112.300721,22.13282,21.380574,54.291132
2010-06-11,33.538984,12.82718,244.494495,112.97797,21.979623,21.945021,54.053014
2010-06-14,33.640855,12.687038,241.836841,113.02195,21.920045,21.808185,54.299635
2010-06-15,34.35659,13.016785,249.244251,114.156562,22.205164,22.731826,54.631301
2010-06-16,35.356764,13.066247,250.885883,114.64912,22.298785,22.509468,54.350662
2010-06-17,35.967983,13.198984,250.290286,115.203226,22.281763,22.55223,54.843907
2010-06-18,36.259043,13.232168,250.265262,114.4732,22.260486,22.612095,54.495236
2010-06-21,35.743078,13.356609,244.524524,114.912974,22.332829,22.193036,54.444206
2010-06-22,36.229937,13.099432,243.368366,113.725592,22.324317,22.039096,53.831902
2010-06-23,35.848915,12.767591,241.266269,114.438024,22.230698,21.645692,53.34716
2010-06-24,35.588287,12.510413,237.787784,112.749293,22.043455,21.380574,53.066522
2010-06-25,35.284,12.369381,236.576587,111.808176,21.388109,20.978619,51.680328
2010-06-28,35.495679,12.444045,236.276279,113.44413,21.73706,20.790469,52.692333
2010-06-29,33.890899,12.012651,227.357364,110.022688,21.417898,19.935246,52.071523
2010-06-30,33.277034,11.962876,222.697696,108.606621,21.328532,19.67868,51.833405
2010-07-01,32.873524,11.713994,219.964969,107.806229,21.290232,19.806963,52.318147
2010-07-02,32.669783,11.51489,218.493503,107.18175,21.298744,19.901038,52.32665
2010-07-06,32.893367,11.589554,218.253253,108.589026,21.460453,20.37141,52.420197
2010-07-07,34.221646,12.128796,225.325336,111.702628,21.903024,20.781917,53.517246
2010-07-08,34.144911,12.303013,228.508517,112.555791,22.307295,20.875992,54.4272
2010-07-09,34.347327,12.402565,233.978976,112.546993,22.298785,20.756261,54.001988
2010-07-12,34.039073,12.385973,238.153156,113.171472,22.320063,21.235186,54.206091
2010-07-13,33.312754,12.618262,244.844852,114.763452,22.434961,21.491752,53.942458
2010-07-14,33.435793,12.609966,245.915912,114.974549,22.477515,21.756872,54.053014
2010-07-15,33.26645,12.651446,247.257266,114.974549,22.490281,21.816737,53.712843
2010-07-16,33.061388,12.070724,230.035037,112.608562,22.286018,21.286498,53.109042
2010-07-19,32.48986,12.128796,233.323321,114.156562,22.243464,21.577274,52.768871
2010-07-20,33.324663,12.394269,241.036044,111.306834,22.656247,21.79108,55.048013
2010-07-21,33.635563,12.311309,238.988986,110.181007,23.013708,21.483201,54.38468
2010-07-22,34.26795,12.618262,242.647647,112.116017,23.090306,22.098961,54.605789
2010-07-23,34.389663,13.033063,245.275272,112.916409,23.298826,22.073304,54.809889
2010-07-26,34.302348,13.389792,244.729739,112.942794,23.37968,22.321319,55.26062
2010-07-27,34.937381,13.422977,246.561557,113.136296,23.42649,22.372632,55.864421
2010-07-28,34.524607,13.315128,242.417423,112.960376,23.354148,22.193036,55.447708
2010-07-29,34.147557,13.398088,242.737735,112.599771,23.400958,22.261454,55.184078
2010-07-30,34.033781,13.373201,242.667667,112.93399,23.452024,22.073304,55.20109
2010-08-02,34.642354,13.613785,245.450458,115.009725,24.005238,22.51802,55.507237
2010-08-03,34.652938,13.605489,245.160159,114.666701,23.992472,22.372632,55.93245
2010-08-04,34.791853,13.671857,253.41341,115.458303,24.064814,22.004886,56.272621
2010-08-05,34.622511,13.705042,254.304309,115.950848,23.988215,21.697007,55.770873
2010-08-06,34.40951,13.64697,250.36037,115.031589,24.149924,21.850945,56.043009
2010-08-09,34.629124,13.588897,252.927936,116.675656,24.303122,21.90226,56.485227
2010-08-10,34.319545,13.481049,252.107105,116.534228,24.247801,21.440439,56.578775
2010-08-11,33.099754,13.024767,246.116123,114.75758,23.847785,21.260843,55.660314
2010-08-12,33.311433,12.858847,246.251254,113.405205,23.698842,20.94441,55.430702
2010-08-13,32.955547,12.759294,243.418414,113.025124,23.715864,20.867439,55.753861
2010-08-16,32.762394,12.825663,243.038043,112.936728,23.779697,20.952962,55.643308
2010-08-17,33.335247,12.925215,245.505512,113.537785,23.881828,21.245289,55.745362
2010-08-18,33.480775,13.024767,241.316318,114.368659,23.762675,21.339865,55.719843
2010-08-19,33.058742,12.651446,234.219226,113.93554,23.524366,21.013148,54.988484
2010-08-20,33.02699,12.468933,231.241244,112.698077,23.532878,20.832592,55.107543
2010-08-23,32.518963,12.352789,232.267276,111.787654,23.660542,20.875582,55.124549
2010-08-24,31.742372,12.087316,225.920917,110.399921,23.686076,20.669234,55.090531
2010-08-25,32.133974,12.087316,227.53754,110.726962,23.571177,20.720821,54.911942
2010-08-26,31.788676,12.029244,225.715716,108.526037,23.473301,20.48008,54.537753
2010-08-27,31.965957,12.20346,229.644641,110.249659,23.89885,20.574657,54.529254
2010-08-30,32.082378,12.045836,226.571582,109.074061,23.639265,20.325319,54.087029
2010-08-31,32.161759,12.012651,225.235232,108.835403,23.779697,20.179155,54.580277
2010-09-01,33.118276,12.452341,230.395404,111.168915,24.388233,20.548863,55.599907
2010-09-02,33.361704,12.568485,231.821826,110.523668,24.418021,20.583255,55.668455
2010-09-03,34.234876,12.767591,235.385394,112.768791,24.49462,20.88418,56.182554
2010-09-07,34.10787,12.80907,232.432437,111.328019,24.524408,20.60045,56.105442
2010-09-08,34.783915,13.024767,235.525531,111.442931,24.609518,20.574657,56.062598
2010-09-09,34.803758,13.198984,238.328326,111.690424,24.805271,20.64344,56.636675
2010-09-10,34.848741,13.257056,238.308307,113.131189,24.903147,20.505874,56.902297
2010-09-13,35.328983,13.481049,241.376376,114.56312,24.881706,21.589204,56.765201
2010-09-14,35.463927,13.406385,240.455463,113.891356,24.693047,21.520421,56.533859
2010-09-15,35.749691,13.555713,240.560565,114.40401,24.620154,21.597802,56.979409
2010-09-16,36.589786,13.56407,240.77077,114.616152,24.658744,21.778356,57.073661
2010-09-17,36.431028,13.614216,245.320331,115.075787,24.680184,21.683779,56.653815
2010-09-20,37.470896,13.831507,254.394397,116.49003,24.855981,21.864335,57.313574
2010-09-21,37.542336,13.806436,256.987003,116.657974,24.916009,21.623594,56.945135
2010-09-22,38.068885,13.78972,258.258274,117.179489,24.967461,21.159311,57.116506
2010-09-23,38.223673,13.488853,256.997013,116.383965,24.813103,21.00455,56.371058
2010-09-24,38.673487,13.923439,263.908908,118.540699,25.134682,21.305475,56.662378
2010-09-27,38.520021,13.731219,265.470462,119.018003,25.126107,21.262485,56.868023
2010-09-28,37.951139,13.739576,263.84885,119.230145,25.340493,21.219496,57.219321
2010-09-29,38.018611,13.672717,264.109104,119.751647,25.19471,21.064734,57.193617
2010-09-30,37.53969,13.580785,263.158176,118.567215,25.091806,21.056136,56.928001
2010-10-01,37.376964,13.672717,263.073062,119.893075,25.349069,20.96156,57.407826
2010-10-04,36.863645,13.455424,261.436435,119.548352,25.246164,20.557461,57.29644
2010-10-05,38.226319,13.798078,269.384403,121.67857,25.580607,20.935767,58.059021
